year,ori,aggravated_assault_actual,aggravated_assault_cleared,arson_actual,arson_cleared,burglary_actual,burglary_cleared,homicide_actual,homicide_cleared,larceny_actual,larceny_cleared,motor_vehicle_theft_actual,motor_vehicle_theft_cleared,property_crime_actual,property_crime_cleared,robbery_actual,robbery_cleared,violent_crime_actual,violent_crime_cleared
1985,IN0200200,7,4,5,1,120,24,2,2,957,188,60,43,1137,255,6,4,20,13
1986,IN0200200,7,5,4,1,103,26,0,0,772,174,44,35,919,235,4,2,14,8
1987,IN0200200,3,2,1,0,148,40,0,0,930,240,58,49,1136,329,3,3,13,7
1988,IN0200200,4,1,17,3,136,21,1,1,1057,271,63,55,1256,347,5,1,16,7
1989,IN0200200,36,19,9,4,135,32,0,0,1087,250,60,48,1282,330,4,2,43,23
1990,IN0200200,37,28,7,2,150,63,1,1,956,368,48,37,1154,468,3,0,46,33
1991,IN0200200,118,109,9,0,143,47,1,1,982,314,43,37,1168,398,9,7,139,124
1992,IN0200200,101,87,6,0,133,50,0,0,909,334,32,33,1074,417,10,6,122,105
1993,IN0200200,88,72,9,1,160,39,1,0,845,301,35,27,1040,367,6,1,108,83
1994,IN0200200,109,87,9,2,155,41,0,1,1114,412,50,45,1319,498,6,3,120,95
1995,IN0200200,111,75,17,2,185,60,2,0,1121,445,92,71,1398,576,15,8,138,92
1996,IN0200200,110,83,10,0,176,59,3,3,1184,431,70,64,1430,554,18,13,140,108
1997,IN0200200,116,78,13,2,209,57,0,0,1237,434,69,62,1515,553,11,8,131,89
1998,IN0200200,40,24,5,1,186,59,0,0,1201,361,73,67,1460,487,14,9,60,40
1999,IN0200200,241,186,4,1,151,41,0,0,1102,370,52,46,1305,457,12,5,256,194
2000,IN0200200,271,201,1,0,144,36,0,0,1226,403,60,57,1430,496,7,7,283,212
2001,IN0200200,228,211,1,0,118,20,4,3,1224,331,45,44,1387,395,9,5,244,221
2002,IN0200200,179,159,2,0,136,20,0,0,1063,363,46,45,1245,428,4,3,185,164
2003,IN0200200,114,99,1,1,154,31,0,0,1131,350,51,51,1336,432,9,6,124,106
2004,IN0200200,71,65,1,1,148,23,0,0,1204,334,45,45,1397,402,2,5,73,71
2005,IN0200200,65,57,0,0,142,44,1,1,1188,410,36,34,1366,488,7,7,73,65
2006,IN0200200,35,29,10,4,199,55,2,1,1047,328,55,33,1301,416,22,7,77,45
2007,IN0200200,7,5,12,2,168,41,0,0,938,309,50,19,1156,369,28,8,53,35
2008,IN0200200,11,7,17,2,196,43,0,0,1048,361,38,9,1282,413,21,11,45,28
2009,IN0200200,9,9,8,1,186,41,0,0,803,353,43,12,1032,406,14,6,36,20
2010,IN0200200,7,5,10,6,242,58,0,0,764,265,34,8,1040,331,15,7,33,20
2011,IN0200200,11,5,5,0,212,61,1,1,876,310,42,11,1130,382,17,10,36,23
2012,IN0200200,11,12,11,9,200,56,1,0,876,290,67,19,1143,365,22,8,47,26
2013,IN0200200,11,2,5,7,198,11,1,1,830,223,70,10,1098,244,10,4,30,10
2014,IN0200200,8,2,1,2,240,30,0,0,934,238,66,5,1240,273,15,4,36,8
2015,IN0200200,5,3,1,2,196,20,0,0,954,174,74,6,1224,200,14,1,35,4
2016,IN0200200,10,2,0,3,209,8,3,3,1010,188,53,5,1272,201,25,0,50,7
2017,IN0200200,7,3,2,3,193,8,1,1,852,165,73,8,1118,181,18,3,51,9
2018,IN0200200,12,3,2,4,174,16,0,0,853,202,101,14,1128,232,17,5,47,14
