year,ori,violent_crime_actual,violent_crime_cleared,homicide_actual,homicide_cleared,robbery_actual,robbery_cleared,aggravated_assault_actual,aggravated_assault_cleared,property_crime_actual,property_crime_cleared,arson_actual,arson_cleared,burglary_actual,burglary_cleared,larceny_actual,larceny_cleared,motor_vehicle_theft_actual,motor_vehicle_theft_cleared
1992,CA0421200,4,3,0,0,0,0,4,3,73,15,0,0,23,2,48,12,2,1
1993,CA0421200,11,7,0,0,0,0,11,7,86,43,1,0,25,15,57,26,4,2
1994,CA0421200,11,7,0,0,3,0,8,7,77,15,1,1,22,5,48,9,7,1
1995,CA0421200,16,7,0,0,3,0,9,6,99,26,0,0,39,11,55,12,5,3
1996,CA0421200,10,9,0,0,0,0,10,9,74,13,2,0,25,5,41,5,8,3
1997,CA0421200,17,15,0,0,1,1,16,14,107,26,0,0,35,8,68,15,4,3
1998,CA0421200,18,10,0,0,2,1,16,9,106,10,0,0,30,6,64,3,12,1
1999,CA0421200,7,5,0,0,1,0,5,5,49,12,1,1,9,4,37,7,3,1
2000,CA0421200,7,6,0,0,2,1,5,5,47,12,2,0,7,4,38,8,2,0
2001,CA0421200,7,7,0,0,0,0,5,5,68,13,0,0,10,3,53,9,5,1
2002,CA0421200,8,5,0,0,1,0,5,4,92,5,0,0,24,2,65,2,3,1
2003,CA0421200,8,5,0,0,2,0,6,5,82,12,1,0,16,1,58,9,8,2
2004,CA0421200,10,6,0,0,0,0,9,6,118,19,1,1,24,11,81,3,13,5
2005,CA0421200,6,3,1,1,2,0,2,2,75,9,0,0,19,2,52,5,4,2
2006,CA0421200,11,10,0,0,1,1,8,8,87,11,1,0,19,2,63,8,5,1
2007,CA0421200,11,6,0,0,2,0,8,6,100,12,1,1,19,5,74,7,7,0
2008,CA0421200,5,2,0,0,0,0,2,2,86,11,1,1,20,1,64,10,2,0
2009,CA0421200,15,9,0,0,2,1,10,7,64,11,0,0,8,3,51,8,5,0
2010,CA0421200,11,6,1,1,1,1,9,4,78,8,0,0,13,2,62,5,3,1
2011,CA0421200,7,3,0,0,1,0,4,3,65,12,0,0,15,3,45,8,5,1
2012,CA0421200,3,2,0,0,0,0,2,2,93,17,0,0,28,6,56,10,9,1
2013,CA0421200,7,6,0,0,1,0,3,3,62,11,0,0,15,5,46,6,1,0
2014,CA0421200,6,4,0,0,1,0,5,4,71,9,0,0,11,3,54,3,6,3
2015,CA0421200,4,4,0,0,1,0,2,1,54,13,0,0,15,7,39,6,0,0
2016,CA0421200,5,1,0,0,3,0,2,0,81,8,0,0,16,3,60,5,5,0
2017,CA0421200,6,4,0,0,2,1,4,3,76,10,0,0,14,4,55,5,7,1
2018,CA0421200,3,1,0,0,0,0,3,1,51,8,0,0,4,2,41,6,6,0
