year,ori,violent_crime_actual,violent_crime_cleared,homicide_actual,homicide_cleared,robbery_actual,robbery_cleared,aggravated_assault_actual,aggravated_assault_cleared,property_crime_actual,property_crime_cleared,arson_actual,arson_cleared,burglary_actual,burglary_cleared,larceny_actual,larceny_cleared,motor_vehicle_theft_actual,motor_vehicle_theft_cleared
2006,IN0410800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,IN0410800,1,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0
2008,IN0410800,4,3,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0
2009,IN0410800,4,1,0,0,0,0,4,1,2,2,0,0,2,2,0,0,0,0
2010,IN0410800,7,0,0,0,0,0,7,0,2,0,0,0,1,0,0,0,1,0
2012,IN0410800,10,8,0,0,0,0,10,8,0,0,0,0,0,0,0,0,0,0
2013,IN0410800,3,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0
2014,IN0410800,3,3,0,0,0,1,3,2,134,10,0,0,18,2,116,8,0,0
2015,IN0410800,4,2,0,0,0,0,3,2,156,8,0,0,16,0,131,7,9,1
2016,IN0410800,6,0,0,0,4,0,2,0,163,6,0,0,16,1,137,5,10,0
2017,IN0410800,9,1,0,0,1,0,8,1,126,6,0,0,14,0,100,5,12,1
2018,IN0410800,12,6,0,0,2,0,10,6,122,3,0,0,4,0,113,2,5,1
