year,ori,violent_crime_actual,violent_crime_cleared,homicide_actual,homicide_cleared,robbery_actual,robbery_cleared,aggravated_assault_actual,aggravated_assault_cleared,property_crime_actual,property_crime_cleared,arson_actual,arson_cleared,burglary_actual,burglary_cleared,larceny_actual,larceny_cleared,motor_vehicle_theft_actual,motor_vehicle_theft_cleared
1985,NBNSP2000,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
1986,NBNSP2000,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0
1987,NBNSP2000,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,1,0
1988,NBNSP2000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
1992,NBNSP2000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
1996,NBNSP2000,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0
1997,NBNSP2000,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1998,NBNSP2000,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
1999,NBNSP2000,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,NBNSP2000,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
2004,NBNSP2000,1,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0
2008,NBNSP2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,NBNSP2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,NBNSP2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,NBNSP2000,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0
2013,NBNSP2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,NBNSP2000,1,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0
2018,NBNSP2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
