year,ori,aggravated_assault_actual,aggravated_assault_cleared,arson_actual,arson_cleared,burglary_actual,burglary_cleared,homicide_actual,homicide_cleared,larceny_actual,larceny_cleared,motor_vehicle_theft_actual,motor_vehicle_theft_cleared,property_crime_actual,property_crime_cleared,robbery_actual,robbery_cleared,violent_crime_actual,violent_crime_cleared
1985,FL0350800,2,2,0,0,24,10,0,0,34,7,7,6,65,23,0,0,3,3
1986,FL0350800,0,0,0,0,8,2,0,0,44,6,7,5,59,13,0,0,2,1
1987,FL0350800,5,0,0,0,12,0,0,0,32,5,3,3,47,8,0,0,5,0
1989,FL0350800,1,0,0,0,8,0,0,0,14,0,3,0,25,0,1,0,2,0
1990,FL0350800,0,0,0,0,5,1,0,0,9,0,1,0,15,1,0,0,0,0
1991,FL0350800,6,5,1,0,4,2,0,0,33,7,0,0,37,9,1,0,10,6
1992,FL0350800,1,1,0,0,0,0,0,0,13,1,0,0,13,1,0,0,1,1
1993,FL0350800,8,7,0,0,10,1,0,0,16,2,3,0,29,3,2,0,11,7
1994,FL0350800,7,0,0,0,1,0,0,0,23,0,0,0,24,0,1,0,8,0
1995,FL0350800,1,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,1,0
2007,FL0350800,20,12,0,0,48,10,0,0,91,11,12,3,151,24,0,0,21,12
2008,FL0350800,7,3,0,0,62,7,0,0,81,11,4,4,147,22,2,0,10,3
2009,FL0350800,4,5,0,0,46,10,0,0,114,27,17,4,177,41,3,0,8,6
2010,FL0350800,34,18,1,1,42,4,0,0,105,19,9,6,156,29,1,1,37,19
2011,FL0350800,24,10,1,1,50,4,0,0,124,21,10,4,184,29,5,2,30,12
2012,FL0350800,9,7,0,0,48,6,0,0,112,21,6,1,166,28,3,1,14,8
2013,FL0350800,20,14,1,0,75,13,0,0,123,32,7,1,205,46,3,0,24,16
2014,FL0350800,17,8,0,0,58,10,0,0,118,26,5,2,181,38,3,2,24,12
2015,FL0350800,9,6,0,0,39,5,0,0,71,3,7,0,117,8,3,1,12,7
2016,FL0350800,16,9,0,0,27,4,0,0,126,8,7,3,160,15,3,0,23,10
2017,FL0350800,14,6,0,1,33,5,0,0,83,12,10,1,126,18,8,1,27,10
